"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","MASE","MASE2"
"SECM_CPUE",13.2202148001238,12.2024710377156,14.237958562532,0.202689327275195,20,0.740678340438024,0.380441465547381,0.34946353882475,53.1281627033836,54.4614960367169,56.4012900634585,0.0022320948290437,0.740678340438024,0.0443105729515676,0.0487004355312201,0.709034814964604,0.709034814964604
"SECM_CPUE + zoo_June",12.9208894945532,11.9737440883831,13.8680349007234,0.228171539963753,19,0.675882564497685,0.509894985590534,0.458304984073748,49.971637704525,52.3245788809956,54.3358075179582,0.00114221244137796,0.675882564497685,0.0366039531954162,0.0418802498810084,0.585769233755093,0.585769233755093
"SECM_CPUE + zoo_June + ISTI20_MJJ",13.3126455920095,12.3277990324863,14.2974921515326,0.344203918506627,18,0.655378647562704,0.563433769151037,0.49067273067621,49.4266867711319,53.1766867711319,54.8818990379235,0.00158083435712537,0.655378647562704,0.0339347314150898,0.0415844964734764,0.543030967502149,0.543030967502149
"SECM_CPUE + ISTI20_MJJ",13.5664746756326,12.4737587449222,14.659190606343,0.368438756516193,19,0.735918776888837,0.418959469696659,0.357797308612097,53.7160559802164,56.068997156687,58.0802257936497,0.00575388346141721,0.735918776888837,0.0427206742428446,0.0490959534162018,0.683529180772273,0.683529180772272
"SECM_CPUE + zoo_June + PDO",13.005762746766,12.0909733466978,13.9205521468341,0.225580213067513,18,0.649553953713454,0.571159271844839,0.499685817152312,49.0338875856483,52.7838875856483,54.4890998524398,0.00135389335490053,0.649553953713454,0.0336169599487765,0.0408933949102965,0.540538129891911,0.540538129891911
"SECM_CPUE + zoo_June + PDO_MJJ",13.0927204124034,12.2099615738563,13.9754792509505,0.226266337714989,18,0.623762879412134,0.604538130051351,0.538627818393242,47.2512008748062,51.0012008748062,52.7064131415977,0.000668775141434818,0.623762879412134,0.0313579594647228,0.0380713327775967,0.502794462945209,0.502794462945209
"SECM_CPUE + PDO",13.308591027355,12.3025868504516,14.3145952042584,0.210356939707144,19,0.727902171935828,0.43154945143651,0.371712551587721,53.2341197917207,55.5870609681913,57.598289605154,0.00467283616303948,0.727902171935828,0.0421286342162661,0.049241023736005,0.674934881160297,0.674934881160296
"SECM_CPUE + PDO_MJJ",13.3932481780918,12.4159148371661,14.3705815190176,0.21582292717226,19,0.703743899353194,0.468655798511656,0.412724829933936,51.7490252220137,54.1019663984843,56.113195035447,0.00246077260041758,0.703743899353194,0.0410551499613624,0.0476019978858847,0.657393797962465,0.657393797962465
"hidden_falls_CPUE",13.1812412798824,12.1642139355842,14.1982686241806,0.208758873763502,20,0.738428871027363,0.384198998521777,0.353408948447865,52.9943296321764,54.3276629655097,56.2674569922513,0.00209193697301759,0.738428871027363,0.0444189621370738,0.048868315724367,0.708000947362701,0.708000947362701
"hidden_falls_CPUE + zoo_June",12.8761639638808,11.9305427300696,13.8217851976921,0.233415550082331,19,0.67287456911031,0.51424767401111,0.463115850222805,49.7753799600031,52.1283211364737,54.1395497734364,0.00104940092869898,0.67287456911031,0.0344942039123993,0.0394695897842339,0.551107559538181,0.551107559538181
"hidden_falls_CPUE + ISTI20_MJJ",13.6552386543684,12.6338527441196,14.6766245646172,0.323974598570251,19,0.697726254919219,0.477703891094782,0.422725353315285,51.3711677535339,53.7241089300045,55.7353375669672,0.00209030427357157,0.697726254919219,0.0379950219898398,0.0435075252746203,0.602983996052061,0.60298399605206
"hidden_falls_CPUE + zoo_June + Chatham_SST_MJJ + July_length",12.908584470361,11.9966551784594,13.8205137622626,0.319773106001525,17,0.604562901633105,0.649147183566596,0.566593579699913,46.6180744734357,52.2180744734357,53.1643291935856,0.000886461726798764,0.604562901633105,0.0334775040598442,0.043473184716505,0.532190248674842,0.532190248674842
"hidden_falls_CPUE + zoo_June + Chatham_SST_AMJJ + July_length",12.9514532300951,12.0091994158051,13.893707044385,0.329782673785517,17,0.62499612332447,0.625029910057005,0.53680165359983,48.0806224507433,53.6806224507433,54.6268771708932,0.00151074167958381,0.62499612332447,0.0338580079800413,0.0438975838926485,0.538697169622876,0.538697169622876
"hidden_falls_CPUE + zoo_June + Icy_Strait_SST_MJJ + July_length",12.8840908835822,12.0399364500823,13.728245317082,0.296283851182376,17,0.55948533262586,0.699517356644858,0.628815558208355,43.2085845206928,48.8085845206928,49.7548392408427,0.000253042340866528,0.55948533262586,0.030534881566275,0.0391592085084406,0.483307729777664,0.483307729777664
"hidden_falls_CPUE + zoo_June + Icy_Strait_SST_AMJJ + July_length",12.94979139412,12.0698085031978,13.8297742850423,0.3079791731793,17,0.583696668270971,0.672948301739673,0.595994960972537,45.0726063279619,50.6726063279619,51.6188610481118,0.000503051745571008,0.583696668270971,0.0317677505694203,0.0406599850714048,0.5039979973652,0.5039979973652
"hidden_falls_CPUE + zoo_June + Icy_Strait_SST_AMJ",13.0744962711922,12.1327060101942,14.0162865321902,0.266970817435998,18,0.655633985368103,0.563093527433903,0.490275782006221,49.4438259859609,53.1938259859609,54.8990382527525,0.00159155374156417,0.655633985368103,0.0325002201320148,0.038928480330924,0.517206846133863,0.517206846133863
"hidden_falls_CPUE + zoo_June + NSEAK_SST_MJJ + July_length",13.0938098066699,12.1431264988488,14.0444931144909,0.336687017738156,17,0.628485107291351,0.620831751966031,0.531615693605098,48.3255653940422,53.9255653940422,54.8718201141921,0.00165131011207264,0.628485107291351,0.0348260272122722,0.0452437349666794,0.554417039014997,0.554417039014997
"hidden_falls_CPUE + zoo_June + NSEAK_SST_AMJJ + July_length",13.0960036267017,12.1295955486852,14.0624117047183,0.342952047686482,17,0.638507184114415,0.608642594714568,0.51655849935329,49.0216715673365,54.6216715673365,55.5679262874864,0.00212522056082979,0.638507184114415,0.0346170551708517,0.0448913072734679,0.55138552243545,0.55138552243545
"hidden_falls_CPUE + zoo_June + SEAK_SST_MJJ",13.228977724156,12.2723254734647,14.1856299748473,0.314347560310406,18,0.646727115491926,0.574883752277962,0.504031044324289,48.8419830953793,52.5919830953793,54.2971953621709,0.00125509744522243,0.646727115491926,0.032733444653308,0.0397353799076766,0.522079864105513,0.522079864105513
"hidden_falls_CPUE + zoo_June + SEAK_SST_AMJJ",13.212634277981,12.2451047779338,14.1801637780282,0.32075868554176,18,0.652693929105795,0.567003176824874,0.49483703962902,49.2460732790674,52.9960732790674,54.701285545859,0.00147214056332208,0.652693929105795,0.0327463402005819,0.0397319566393901,0.522066427295845,0.522066427295845
"hidden_falls_CPUE + zoo_June + PDO",12.962221629679,12.0605110110166,13.8639322483414,0.226896346835267,18,0.63867205036761,0.585407553426553,0.516308812330979,48.2905162601723,52.0405162601723,53.7457285269639,0.00100930382194683,0.63867205036761,0.0324702041100505,0.0392062362186031,0.516783841703396,0.516783841703396
"hidden_falls_CPUE + zoo_June + PDO_MJJ",13.0513276858346,12.1941643019813,13.908491069688,0.222573015019602,18,0.604629206668253,0.628427292025843,0.566498507363483,45.8803849841166,49.6303849841166,51.3355972509082,0.000388052670085292,0.604629206668253,0.0304445876493247,0.0364196123429342,0.483062842376601,0.483062842376601
"hidden_falls_CPUE + zoo_June +ISTI20_MJJ",13.3947635539621,12.5163943728057,14.2731327351185,0.289910599404284,18,0.593178410910494,0.642368111479423,0.582762796725994,45.0390973595761,48.7890973595761,50.4943096263677,0.000277646373890765,0.593178410910494,0.0289666317994679,0.0350579262522772,0.461246114511143,0.461246114511143
